<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<VAL>,<COUNT>,<PREVIOUS>,<COL1>,<COL2>,<TIME>,<TSEClose>,<MarketValue>,<ShareCount>,,<OPENMarketValue>,<HIGHMarketValue>,<LOWMarketValue>,<CloseMarketValue>,<TseCloseMarketValue>,TradedOfTotalMarket
ABAD,d,20070519,0,861,878,861,878,545,1586530,2,878,آباد,13860229,0,878,1.32E+11,150000000,,1.2915E+11,1.317E+11,1.2915E+11,1.317E+11,1.317E+11,5.744
ABAD,d,20070520,0,861,878,861,878,2740,7971240,4,878,آباد,13860230,0,878,1.32E+11,150000000,,1.2915E+11,1.317E+11,1.2915E+11,1.317E+11,1.317E+11,5.744
ABAD,d,20070521,0,860,878,860,878,110,320470,2,878,آباد,13860231,0,878,1.32E+11,150000000,,1.29E+11,1.317E+11,1.29E+11,1.317E+11,1.317E+11,5.744
ABAD,d,20070527,0,860,860,860,860,1254149,3647065292,24,878,آباد,13860306,0,860,1.29E+11,150000000,,1.29E+11,1.29E+11,1.29E+11,1.29E+11,1.29E+11,5.752
ABAD,d,20070528,0,843,857,843,857,20010,57028980,3,860,آباد,13860307,0,857,1.29E+11,150000000,,1.2645E+11,1.2855E+11,1.2645E+11,1.2855E+11,1.2855E+11,5.752
ABAD,d,20070529,0,840,855,840,855,20010,56848890,3,857,آباد,13860308,0,855,1.28E+11,150000000,,1.26E+11,1.2825E+11,1.26E+11,1.2825E+11,1.2825E+11,5.753
ABAD,d,20070530,0,838,858,838,839,759714,2174293079,80,855,آباد,13860309,0,839,1.26E+11,150000000,,1.257E+11,1.287E+11,1.257E+11,1.2585E+11,1.2585E+11,5.758
ABAD,d,20070602,0,855,855,847,847,319255,922965925,16,839,آباد,13860312,0,847,1.27E+11,150000000,,1.2825E+11,1.2825E+11,1.2705E+11,1.2705E+11,1.2705E+11,5.76
ABAD,d,20070603,0,853,864,849,855,152130,439522950,33,847,آباد,13860313,0,855,1.28E+11,150000000,,1.2795E+11,1.296E+11,1.2735E+11,1.2825E+11,1.2825E+11,5.761
ABAD,d,20070606,0,858,858,855,855,1201010,3482928890,7,855,آباد,13860316,0,855,1.28E+11,150000000,,1.287E+11,1.287E+11,1.2825E+11,1.2825E+11,1.2825E+11,5.769
ABAD,d,20070609,0,858,858,838,851,65510,187757610,18,855,آباد,13860319,0,851,1.28E+11,150000000,,1.287E+11,1.287E+11,1.257E+11,1.2765E+11,1.2765E+11,5.769
ABAD,d,20070610,0,834,845,834,845,37110,104613480,14,851,آباد,13860320,0,845,1.27E+11,150000000,,1.251E+11,1.2675E+11,1.251E+11,1.2675E+11,1.2675E+11,5.769
ABAD,d,20070611,0,829,844,829,844,8610,24117140,3,845,آباد,13860321,0,844,1.27E+11,150000000,,1.2435E+11,1.266E+11,1.2435E+11,1.266E+11,1.266E+11,5.769
ABAD,d,20070612,0,844,849,843,845,151030,431789755,31,844,آباد,13860322,0,845,1.27E+11,150000000,,1.266E+11,1.2735E+11,1.2645E+11,1.2675E+11,1.2675E+11,5.77
ABAD,d,20070613,0,846,847,845,845,18363,52532347,8,845,آباد,13860323,0,845,1.27E+11,150000000,,1.269E+11,1.2705E+11,1.2675E+11,1.2675E+11,1.2675E+11,5.771
ABAD,d,20070616,0,830,832,829,832,97523,273292033,13,845,آباد,13860326,0,832,1.25E+11,150000000,,1.245E+11,1.248E+11,1.2435E+11,1.248E+11,1.248E+11,5.771
ABAD,d,20070617,0,828,830,815,830,10220,28171670,4,832,آباد,13860327,0,830,1.25E+11,150000000,,1.242E+11,1.245E+11,1.2225E+11,1.245E+11,1.245E+11,5.771
ABAD,d,20070619,0,828,829,814,829,54750,153095610,14,830,آباد,13860329,0,829,1.24E+11,150000000,,1.242E+11,1.2435E+11,1.221E+11,1.2435E+11,1.2435E+11,5.772
ABAD,d,20070620,0,812,828,812,828,21730,60516008,10,829,آباد,13860330,0,828,1.24E+11,150000000,,1.218E+11,1.242E+11,1.218E+11,1.242E+11,1.242E+11,5.772
ABAD,d,20070624,0,828,828,828,828,230000,643770000,4,828,آباد,13860403,0,828,1.24E+11,150000000,,1.242E+11,1.242E+11,1.242E+11,1.242E+11,1.242E+11,5.773
ABAD,d,20070625,0,828,828,828,828,7500,20992500,1,828,آباد,13860404,0,828,1.24E+11,150000000,,1.242E+11,1.242E+11,1.242E+11,1.242E+11,1.242E+11,5.773
ABAD,d,20070627,0,828,828,828,828,15800,44224700,9,828,آباد,13860406,0,828,1.24E+11,150000000,,1.242E+11,1.242E+11,1.242E+11,1.242E+11,1.242E+11,5.774
ABAD,d,20070630,0,828,828,828,828,8474,23718726,3,828,آباد,13860409,0,828,1.24E+11,150000000,,1.242E+11,1.242E+11,1.242E+11,1.242E+11,1.242E+11,5.774
ABAD,d,20070702,0,831,831,828,828,17498,48980697,14,828,آباد,13860411,0,828,1.24E+11,150000000,,1.2465E+11,1.2465E+11,1.242E+11,1.242E+11,1.242E+11,5.774
ABAD,d,20070703,0,828,828,814,828,24269,67925550,14,828,آباد,13860412,0,828,1.24E+11,150000000,,1.242E+11,1.242E+11,1.221E+11,1.242E+11,1.242E+11,5.774
ABAD,d,20070704,0,828,828,828,828,5331,14921469,4,828,آباد,13860413,0,828,1.24E+11,150000000,,1.242E+11,1.242E+11,1.242E+11,1.242E+11,1.242E+11,5.774
ABAD,d,20070709,0,814,825,814,825,190375,524671650,11,828,آباد,13860418,0,825,1.24E+11,150000000,,1.221E+11,1.2375E+11,1.221E+11,1.2375E+11,1.2375E+11,5.775
ABAD,d,20070710,0,825,825,822,825,30010,83478211,8,825,آباد,13860419,0,825,1.24E+11,150000000,,1.2375E+11,1.2375E+11,1.233E+11,1.2375E+11,1.2375E+11,5.775
ABAD,d,20070711,0,808,822,808,822,20010,54687790,6,825,آباد,13860420,0,822,1.23E+11,150000000,,1.212E+11,1.233E+11,1.212E+11,1.233E+11,1.233E+11,5.776
ABAD,d,20070714,0,806,822,806,814,175541,483356974,32,822,آباد,13860423,0,814,1.22E+11,150000000,,1.209E+11,1.233E+11,1.209E+11,1.221E+11,1.221E+11,5.777
